Date,Open,Last,High,Low,Range,Volume,3Y POC,VWAP,YTD POC,1Y POC,1WK POC
2022/12/27,3878.00,3855.00,3900.50,3837.25,63.25,1006414,3984.00,3893.06,0.00,3998.00,0.00
2022/12/28,3858.00,3807.50,3875.00,3804.50,70.50,1282810,3984.00,3892.97,0.00,3998.00,0.00
2022/12/29,3811.00,3871.75,3882.75,3806.25,76.50,1146984,3984.00,3892.95,0.00,3998.00,0.00
2022/12/30,3869.75,3861.00,3871.00,3821.50,49.50,1401810,3984.00,3892.91,3990.25,3998.00,0.00
2023/1/3,3895.00,3846.00,3906.75,3814.50,92.25,1782473,3984.00,3892.84,3990.25,3998.00,0.00
2023/1/4,3842.75,3874.50,3896.25,3836.50,59.75,1912155,3984.00,3892.81,3990.25,3998.00,0.00
2023/1/5,3871.00,3829.00,3885.50,3822.50,63.00,1679973,3984.00,3892.72,3990.25,3998.00,0.00
2023/1/6,3833.00,3915.50,3928.75,3819.00,109.75,2026154,3984.00,3892.76,3990.25,3998.00,0.00
2023/1/9,3918.50,3913.75,3973.25,3909.75,63.50,1697887,3984.00,3892.79,3990.25,3998.00,0.00
2023/1/10,3914.50,3940.75,3943.75,3891.50,52.25,1520955,3984.00,3892.85,3990.25,3998.00,0.00
2023/1/11,3941.00,3990.00,3992.50,3934.50,58.00,1398769,3984.00,3892.96,3990.25,3998.00,0.00
2023/1/12,3991.75,4003.50,4021.50,3954.00,67.50,2102587,3984.00,3893.15,3990.25,3998.00,0.00
2023/1/13,4003.00,4018.25,4024.25,3961.75,62.50,1456784,3984.00,3893.30,3990.25,3998.00,0.00
2023/1/17,4020.00,4009.50,4035.25,3996.75,38.50,1423931,3984.00,3893.44,3990.25,3998.00,0.00
2023/1/18,4008.50,3945.75,4033.50,3943.75,89.75,1902551,3984.00,3893.52,3990.25,3998.00,0.00
2023/1/19,3945.25,3915.50,3948.75,3901.75,47.00,1896890,3984.00,3893.55,3990.25,3998.00,0.00
2023/1/20,3925.00,3988.50,3990.50,3911.75,78.75,1620355,3984.00,3893.68,3990.25,3998.00,0.00
2023/1/23,3987.00,4036.50,4056.75,3980.25,76.50,1594736,3984.00,3893.87,3990.25,3998.00,0.00
2023/1/24,4036.50,4032.75,4047.50,4005.25,42.25,1472856,3984.00,3894.03,3990.25,3998.00,0.00
2023/1/25,4039.00,4032.00,4040.50,3963.25,77.25,1760515,3984.00,3894.23,3990.25,3998.00,0.00
2023/1/26,4031.00,4075.50,4077.00,4027.25,49.75,1613804,3984.00,3894.47,3990.25,3998.00,0.00
2023/1/27,4065.00,4084.25,4109.25,4057.25,52.00,1587936,3984.00,3894.71,3990.25,3998.00,0.00
2023/1/30,4077.00,4032.50,4086.00,4029.50,56.50,1786112,3984.00,3894.91,3990.25,3998.00,0.00
2023/1/31,4039.25,4090.00,4091.25,4007.50,83.75,1790751,3984.00,3895.20,3990.25,3998.00,0.00
2023/2/1,4085.75,4132.25,4163.25,4048.50,114.75,2000400,3984.00,3895.58,3990.25,3998.00,0.00
2023/2/2,4145.50,4191.50,4208.50,4136.75,71.75,2290729,3984.00,3896.13,3990.25,3998.00,0.00
2023/2/3,4176.00,4147.75,4194.00,4132.50,61.50,2354996,3984.00,3896.61,3990.25,3998.00,0.00
2023/2/6,4134.25,4123.50,4143.00,4104.00,39.00,1560324,3984.00,3896.89,3990.25,3998.00,0.00
2023/2/7,4123.50,4175.75,4188.25,4098.25,90.00,2180936,3984.00,3897.38,3990.25,3998.00,0.00
2023/2/8,4167.25,4130.50,4179.25,4121.25,58.00,1804101,3984.00,3897.72,3990.25,3998.00,0.00
2023/2/9,4132.25,4091.75,4170.25,4078.25,92.00,1828571,3984.00,3898.00,3990.25,3998.00,0.00
2023/2/10,4098.00,4099.75,4104.25,4060.75,43.50,1744956,3984.00,3898.28,3990.25,3998.00,0.00
2023/2/13,4105.00,4147.25,4150.75,4078.75,72.00,1376325,3984.00,3898.56,3990.25,3998.00,0.00
2023/2/14,4149.75,4145.50,4186.50,4103.75,82.75,2379034,3984.00,3899.03,3990.25,3998.00,0.00
2023/2/15,4141.25,4158.25,4161.75,4113.00,48.75,1611550,3984.00,3899.36,3990.25,3998.00,0.00
2023/2/16,4159.00,4099.75,4168.50,4095.00,73.50,2042993,3984.00,3899.68,3990.25,3998.00,0.00
2023/2/17,4095.50,4087.50,4096.00,4055.75,40.25,2008448,3984.00,3899.98,3990.25,3998.00,0.00
2023/2/21,4083.00,4005.75,4089.25,4002.00,87.25,1883040,3984.00,3900.14,3990.25,3998.00,0.00
2023/2/22,4007.50,3999.00,4025.00,3983.75,41.25,1925300,3984.00,3900.29,3990.25,3998.00,0.00
2023/2/23,4010.00,4018.75,4034.25,3974.25,60.00,1955820,3984.00,3900.48,3990.25,3998.00,0.00
2023/2/24,4015.25,3975.75,4023.25,3947.50,75.75,2063242,3984.00,3900.60,3990.25,3998.00,0.00
2023/2/27,3976.50,3988.00,4024.75,3973.00,51.75,1621961,3984.00,3900.71,3990.25,3998.00,0.00
2023/2/28,3991.50,3975.50,4003.75,3965.00,38.75,1847930,3984.00,3900.82,3990.25,3998.00,0.00
2023/3/1,3968.50,3956.50,3991.00,3943.00,48.00,2042321,3984.00,3900.91,3990.25,3998.00,3990.75
2023/3/2,3959.75,3984.75,3995.25,3925.00,70.25,1836555,3984.00,3901.03,3990.25,3998.00,3990.75
2023/3/3,3983.00,4049.75,4053.00,3974.00,79.00,1665102,3984.00,3901.22,3990.25,3998.00,3990.75
2023/3/6,4049.25,4052.50,4082.50,4041.75,40.75,1528845,3984.00,3901.40,3990.25,3998.00,3990.75
2023/3/7,4053.75,3989.75,4064.50,3982.50,82.00,2141615,3984.00,3901.55,3990.25,3998.00,3995.00
